Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2019-04-16,home,Denver,San Antonio,1610612743,0041800152,49.7,-235.0,-285.0,-275.0,-302.0,,-300.0,-290.5,-275.0,-302.0,50.0,-5.5,-115.0,-7.0,-108.0,-6.5,-102.0,-7.5,-105.0,-7.0,-115.0,-7.0,-115.0,-6.75,-110.0,-5.5,-7.5,-102.0,-115.0,5.6,208.5,-110.0,210.0,-102.0,210.0,-102.0,211.0,-105.0,210.5,-105.0,210.5,-110.0,210.08,-105.67,211.0,208.5,-102.0,-110.0,114,9,W,219
2019-04-16,away,Oklahoma City,Portland,1610612760,0041800162,65.0,120.0,-102.0,107.0,-110.0,-105.0,-109.0,-63.8,107.0,-110.0,61.7,3.0,-115.0,1.0,-107.0,1.5,-109.0,1.0,-110.0,1.0,-115.0,0.0,-105.0,1.25,-110.17,3.0,0.0,-105.0,-115.0,66.4,218.0,-110.0,224.5,-104.0,224.5,-105.0,225.0,-105.0,225.0,-110.0,224.5,-110.0,223.58,-107.33,225.0,218.0,-104.0,-110.0,94,-20,L,208
2019-04-16,home,Portland,Oklahoma City,1610612757,0041800162,35.0,-140.0,-108.0,-117.0,-110.0,-115.0,-111.0,-112.2,-108.0,-117.0,38.3,-3.0,-105.0,-1.0,-103.0,-1.5,-101.0,-1.0,-100.0,-1.0,-105.0,0.0,-115.0,-1.25,-104.83,0.0,-3.0,-100.0,-115.0,33.6,218.0,-110.0,224.5,-106.0,224.5,-105.0,225.0,-105.0,225.0,-110.0,224.5,-110.0,223.58,-107.67,225.0,218.0,-105.0,-110.0,114,20,W,208
2019-04-17,away,Detroit,Milwaukee,1610612765,0041800102,55.8,1221.0,1464.0,1150.0,1225.0,950.0,1175.0,1192.8,1464.0,950.0,46.6,14.5,-110.0,15.5,-103.0,15.0,-105.0,15.5,-105.0,16.0,-110.0,15.5,-107.0,15.33,-106.67,16.0,14.5,-103.0,-110.0,59.4,210.5,-110.0,215.5,-102.0,215.0,-107.0,215.5,-105.0,215.5,-105.0,215.5,-107.0,214.58,-106.0,215.5,210.5,-102.0,-110.0,99,-21,L,219
2019-04-17,home,Milwaukee,Detroit,1610612749,0041800102,44.2,-2700.0,-2429.0,-1450.0,-1875.0,-2000.0,-2000.0,-1950.8,-1450.0,-2429.0,53.4,-14.5,-110.0,-15.5,-107.0,-15.0,-105.0,-15.5,-105.0,-16.0,-110.0,-15.5,-113.0,-15.33,-108.33,-14.5,-16.0,-105.0,-113.0,40.6,210.5,-110.0,215.5,-113.0,215.0,-103.0,215.5,-105.0,215.5,-115.0,215.5,-113.0,214.58,-109.83,215.5,210.5,-103.0,-115.0,120,21,W,219
2019-04-17,away,Indiana,Boston,1610612754,0041800132,41.7,271.0,257.0,260.0,270.0,260.0,255.0,260.4,270.0,255.0,48.4,7.5,-110.0,7.5,-108.0,7.0,-101.0,7.5,-105.0,8.0,-115.0,7.5,-110.0,7.5,-108.17,8.0,7.0,-101.0,-115.0,55.7,204.0,-110.0,206.5,-102.0,206.5,-105.0,207.0,-105.0,207.0,-110.0,206.5,-112.0,206.25,-107.33,207.0,204.0,-102.0,-112.0,91,-8,L,190
2019-04-17,home,Boston,Indiana,1610612738,0041800132,58.3,-335.0,-291.0,-290.0,-330.0,-320.0,-305.0,-307.2,-290.0,-330.0,51.6,-7.5,-110.0,-7.5,-102.0,-7.0,-109.0,-7.5,-105.0,-8.0,-105.0,-7.5,-110.0,-7.5,-106.83,-7.0,-8.0,-102.0,-110.0,44.3,204.0,-110.0,206.5,-108.0,206.5,-105.0,207.0,-105.0,207.0,-110.0,206.5,-108.0,206.25,-107.67,207.0,204.0,-105.0,-110.0,99,8,W,190
2019-04-17,away,Utah,Houston,1610612762,0041800172,44.5,222.0,246.0,,245.0,255.0,240.0,246.5,255.0,240.0,49.3,6.5,-110.0,7.0,-104.0,6.5,-109.0,6.5,-105.0,7.0,-110.0,7.0,-110.0,6.75,-108.0,7.0,6.5,-104.0,-110.0,59.6,212.5,-110.0,216.0,-106.0,216.0,-105.0,216.0,-105.0,216.5,-110.0,216.0,-110.0,215.5,-107.67,216.5,212.5,-105.0,-110.0,98,-20,L,216
2019-04-17,home,Houston,Utah,1610612745,0041800172,55.5,-270.0,-278.0,,-305.0,-310.0,-285.0,-294.5,-278.0,-310.0,50.7,-6.5,-110.0,-7.0,-106.0,-6.5,-101.0,-6.5,-105.0,-7.0,-110.0,-7.0,-110.0,-6.75,-107.0,-6.5,-7.0,-101.0,-110.0,40.4,212.5,-110.0,216.0,-104.0,216.0,-105.0,216.0,-105.0,216.5,-110.0,216.0,-110.0,215.5,-107.33,216.5,212.5,-104.0,-110.0,118,20,W,216
2019-04-18,away,Philadelphia,Brooklyn,1610612755,0041800123,41.8,-145.0,-108.0,-112.0,-120.0,-115.0,-108.0,-112.6,-108.0,-120.0,45.8,-2.5,-115.0,-1.0,-102.0,-1.0,-103.0,-1.0,-105.0,-1.5,-105.0,-1.0,-105.0,-1.33,-105.83,-1.0,-2.5,-102.0,-115.0,54.4,227.0,-110.0,229.0,-106.0,229.0,-105.0,229.5,-105.0,229.0,-110.0,229.5,-115.0,228.83,-108.5,229.5,227.0,-105.0,-115.0,131,16,W,246
