ml_winnings,spread_winnings,total_winnings,book,game_id,season,date,agg_winnings,day
-25.00,23.81,-25.00,BetOnline,1415406,20-21,2021-06-11 22:00:00,-26.19,2021-06-11
-25.00,23.15,-25.00,Opening,1415406,20-21,2021-06-11 22:00:00,-26.85,2021-06-11
-25.00,23.81,-25.00,best,1415406,20-21,2021-06-11 22:00:00,-26.19,2021-06-11
-25.00,22.73,-25.00,worst,1415406,20-21,2021-06-11 22:00:00,-27.27,2021-06-11
-25.00,23.21,-25.00,average,1415406,20-21,2021-06-11 22:00:00,-26.79,2021-06-11
16.67,22.73,-25.00,BOVADA,1386191,20-21,2021-05-05 21:00:00,14.39,2021-05-05
15.62,22.93,-25.00,GTBets,1386191,20-21,2021-05-05 21:00:00,13.56,2021-05-05
15.62,22.73,-25.00,MyBookie,1386191,20-21,2021-05-05 21:00:00,13.35,2021-05-05
16.13,22.73,-25.00,BetNow,1386191,20-21,2021-05-05 21:00:00,13.86,2021-05-05
15.92,23.36,-25.00,SportsBetting,1386191,20-21,2021-05-05 21:00:00,14.29,2021-05-05
15.62,22.73,-25.00,Intertops,1386191,20-21,2021-05-05 21:00:00,13.35,2021-05-05
15.92,23.36,-25.00,BetOnline,1386191,20-21,2021-05-05 21:00:00,14.29,2021-05-05
12.50,22.73,-25.00,Opening,1386191,20-21,2021-05-05 21:00:00,10.23,2021-05-05
16.67,23.36,-25.00,best,1386191,20-21,2021-05-05 21:00:00,15.03,2021-05-05
12.50,22.73,-25.00,worst,1386191,20-21,2021-05-05 21:00:00,10.23,2021-05-05
15.50,22.91,-25.00,average,1386191,20-21,2021-05-05 21:00:00,13.41,2021-05-05
-25.00,-25.00,22.73,BOVADA,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
-25.00,-25.00,22.93,GTBets,1413071,20-21,2021-06-01 21:00:00,-27.07,2021-06-01
-25.00,-25.00,22.73,MyBookie,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
-25.00,-25.00,22.73,BetNow,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
-25.00,-25.00,23.81,SportsBetting,1413071,20-21,2021-06-01 21:00:00,-26.19,2021-06-01
-25.00,-25.00,22.73,Intertops,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
-25.00,-25.00,23.81,BetOnline,1413071,20-21,2021-06-01 21:00:00,-26.19,2021-06-01
-25.00,-25.00,22.73,Opening,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
-25.00,-25.00,23.81,best,1413071,20-21,2021-06-01 21:00:00,-26.19,2021-06-01
-25.00,-25.00,22.73,worst,1413071,20-21,2021-06-01 21:00:00,-27.27,2021-06-01
