book,day,ml_winnings,spread_winnings,total_winnings,agg_winnings,season
worst,2017-12-16,152.66,179.23,-7.22,324.68,17-18
worst,2017-12-17,12.65,-6.13,-4.55,1.97,17-18
worst,2017-12-18,-2.64,-12.96,83.49,67.89,17-18
worst,2017-12-19,-75.00,-27.48,-27.27,-129.75,17-18
worst,2017-12-20,-157.13,31.12,33.10,-92.91,17-18
worst,2017-12-21,-7.78,110.75,-29.55,73.43,17-18
worst,2017-12-22,21.95,202.35,107.29,331.59,17-18
worst,2017-12-23,29.71,9.57,-87.35,-48.07,17-18
worst,2017-12-25,16.49,16.21,63.94,96.64,17-18
worst,2017-12-26,-83.53,39.90,-152.48,-196.11,17-18
worst,2017-12-27,-192.43,-107.42,85.17,-214.68,17-18
worst,2017-12-28,-77.27,-31.44,-30.15,-138.86,17-18
worst,2017-12-29,8.57,10.49,-130.53,-111.47,17-18
worst,2017-12-30,-95.83,14.52,-80.15,-161.46,17-18
worst,2017-12-31,-16.62,35.07,-57.42,-38.96,17-18
worst,2018-01-01,18.72,41.99,42.20,102.91,17-18
worst,2018-01-02,23.29,16.98,-29.95,10.32,17-18
worst,2018-01-03,-54.74,-63.92,-61.36,-180.03,17-18
worst,2018-01-04,-12.18,-50.00,45.45,-16.73,17-18
worst,2018-01-05,-33.59,-61.06,-11.36,-106.02,17-18
worst,2018-01-06,-103.28,-12.24,-100.00,-215.52,17-18
worst,2018-01-07,160.19,63.94,16.59,240.72,17-18
worst,2018-01-08,47.52,-12.26,-105.15,-69.88,17-18
worst,2018-01-09,-68.75,-7.24,42.58,-33.41,17-18
worst,2018-01-10,-177.91,60.76,55.31,-61.83,17-18
worst,2018-01-11,48.45,42.20,-52.27,38.38,17-18
worst,2018-01-12,63.28,57.82,-129.95,-8.86,17-18
worst,2018-01-13,16.87,-79.55,-32.42,-95.10,17-18
worst,2018-01-14,16.48,-52.27,-4.55,-40.34,17-18
worst,2018-01-15,-24.11,56.34,10.38,42.60,17-18
worst,2018-01-16,-18.01,87.76,43.18,112.93,17-18
worst,2018-01-17,-110.52,-104.95,-59.09,-274.56,17-18
worst,2018-01-18,10.67,-5.74,-5.15,-0.22,17-18
worst,2018-01-19,47.41,14.92,63.64,125.97,17-18
worst,2018-01-20,-125.96,-36.06,13.64,-148.39,17-18
worst,2018-01-21,89.19,88.94,-4.55,173.58,17-18
worst,2018-01-22,-45.66,12.44,-82.81,-116.02,17-18
worst,2018-01-23,-21.86,64.92,65.50,108.57,17-18
worst,2018-01-24,-0.72,9.67,61.36,70.32,17-18
worst,2018-01-25,-38.57,-52.68,42.78,-48.47,17-18
worst,2018-01-26,-5.63,-14.73,-11.97,-32.33,17-18
worst,2018-01-27,22.90,60.44,-31.82,51.53,17-18
worst,2018-01-28,-17.26,-32.80,61.66,11.60,17-18
worst,2018-01-29,-108.22,-102.27,-55.53,-266.03,17-18
worst,2018-01-30,-116.10,-35.90,60.76,-91.24,17-18
worst,2018-01-31,-6.07,-58.01,-57.22,-121.30,17-18
worst,2018-02-01,31.09,62.12,16.42,109.63,17-18
worst,2018-02-02,39.03,104.35,-37.65,105.72,17-18
worst,2018-02-03,5.80,-84.12,13.43,-64.88,17-18
worst,2018-02-04,-40.16,-7.42,-54.55,-102.12,17-18
worst,2018-02-05,-14.79,-79.55,62.83,-31.51,17-18
worst,2018-02-06,-18.01,36.07,84.39,102.45,17-18
worst,2018-02-07,-7.31,17.20,-29.55,-19.66,17-18
worst,2018-02-08,-11.46,-102.27,-6.82,-120.55,17-18
worst,2018-02-09,-20.08,10.91,-81.82,-90.98,17-18
worst,2018-02-10,-35.33,-33.41,14.92,-53.81,17-18
worst,2018-02-11,4.12,180.02,37.65,221.79,17-18
worst,2018-02-12,28.24,-7.22,-6.82,14.20,17-18
worst,2018-02-13,34.26,37.04,-8.71,62.59,17-18
worst,2018-02-14,50.87,78.27,81.02,210.16,17-18
worst,2018-02-15,26.95,44.47,-2.27,69.14,17-18
worst,2018-02-22,-26.26,-11.59,-55.53,-93.39,17-18
worst,2018-02-23,86.42,10.75,61.36,158.54,17-18
worst,2018-02-24,27.58,-58.21,-9.09,-39.72,17-18
worst,2018-02-25,57.81,-30.53,-28.26,-0.98,17-18
worst,2018-02-26,56.51,32.42,-56.82,32.11,17-18
worst,2018-02-27,49.62,41.40,-102.27,-11.25,17-18
worst,2018-02-28,25.54,-35.08,12.65,3.11,17-18
worst,2018-03-01,-36.50,-6.44,-5.15,-48.09,17-18
worst,2018-03-02,111.54,-12.95,-11.97,86.62,17-18
worst,2018-03-03,-11.10,-30.72,-31.82,-73.64,17-18
worst,2018-03-04,-73.41,62.24,-32.80,-43.98,17-18
worst,2018-03-05,-41.25,-127.88,15.31,-153.82,17-18
worst,2018-03-06,50.44,-10.08,85.00,125.37,17-18
worst,2018-03-07,59.61,59.51,15.51,134.63,17-18
worst,2018-03-08,-68.85,-77.27,-30.34,-176.47,17-18
worst,2018-03-09,-160.63,-154.55,35.16,-280.02,17-18
worst,2018-03-10,-2.38,-29.95,17.78,-14.55,17-18
worst,2018-03-11,11.78,-34.09,-177.27,-199.58,17-18
worst,2018-03-12,20.71,-5.53,-4.55,10.63,17-18
worst,2018-03-13,-56.10,-41.24,-84.69,-182.03,17-18
worst,2018-03-14,-27.41,41.42,43.18,57.19,17-18
worst,2018-03-15,-14.72,13.94,-34.50,-35.28,17-18
worst,2018-03-16,-58.69,-54.95,-55.53,-169.18,17-18
worst,2018-03-17,-19.45,11.89,-39.32,-46.88,17-18
worst,2018-03-18,-26.41,-5.53,-4.55,-36.49,17-18
worst,2018-03-19,-20.64,-58.40,-9.09,-88.13,17-18
worst,2018-03-20,-28.92,15.61,-79.55,-92.86,17-18
worst,2018-03-21,-4.61,-10.48,-105.55,-120.65,17-18
worst,2018-03-22,-2.93,-55.94,-8.03,-66.90,17-18
worst,2018-03-23,-15.67,82.88,82.90,150.11,17-18
worst,2018-03-24,-44.00,-9.39,40.91,-12.49,17-18
worst,2018-03-25,-44.32,-36.28,108.49,27.89,17-18
worst,2018-03-26,-97.22,-31.71,-77.27,-206.20,17-18
worst,2018-03-27,-0.63,-12.24,37.65,24.78,17-18
worst,2018-03-28,87.12,-10.29,84.78,161.60,17-18
worst,2018-03-29,-67.08,-31.52,18.18,-80.42,17-18
worst,2018-03-30,-48.90,14.11,59.37,24.58,17-18
worst,2018-03-31,-4.04,-30.53,-29.55,-64.12,17-18
worst,2018-04-01,-168.59,-83.22,102.57,-149.24,17-18
worst,2018-04-03,-9.02,102.17,7.48,100.63,17-18
worst,2018-04-04,72.59,-57.25,-7.42,7.92,17-18
worst,2018-04-05,-49.88,39.31,-7.02,-17.58,17-18
worst,2018-04-06,44.18,37.63,-11.77,70.05,17-18
worst,2018-04-07,-45.95,-56.52,-55.53,-158.00,17-18
worst,2018-04-08,-93.73,-33.60,108.58,-18.75,17-18
worst,2018-04-09,49.81,-129.55,-82.22,-161.95,17-18
worst,2018-04-10,44.77,38.33,-7.62,75.48,17-18
worst,2018-04-11,-123.45,-64.34,33.49,-154.31,17-18
worst,2018-04-14,44.90,41.79,-5.15,81.55,17-18
worst,2018-04-15,-36.62,-6.52,-4.75,-47.89,17-18
worst,2018-04-16,-21.12,44.47,47.73,71.07,17-18
worst,2018-04-17,36.84,-27.68,67.98,77.14,17-18
worst,2018-04-18,-16.19,19.26,-75.00,-71.93,17-18
worst,2018-04-19,44.35,66.21,66.20,176.75,17-18
worst,2018-04-20,-38.74,-25.00,20.45,-43.28,17-18
worst,2018-04-21,-28.73,-5.53,42.98,8.72,17-18
worst,2018-04-22,-21.36,-5.74,-53.26,-80.36,17-18
worst,2018-04-23,-15.74,-50.00,45.45,-20.29,17-18
worst,2018-04-24,-18.67,-27.27,-75.00,-120.94,17-18
worst,2018-04-25,13.67,-28.26,-27.27,-41.86,17-18
worst,2018-04-26,12.50,-25.00,-25.00,-37.50,17-18
worst,2018-04-27,-48.44,19.06,-28.07,-57.45,17-18
