abbv,efg_pct,orb_pct,tov_pct,fta_per_fga_pct,game_possessions,pts,game_code,date,season
MEM,0.6,0.163,0.073,0.289,100.55637873754154,128,201903160WAS,2019-03-16 19:00:00,18-19
CHO,0.542,0.167,0.074,0.137,97.71000000000001,111,201811300CHO,2018-11-30 19:00:00,18-19
UTA,0.654,0.162,0.136,0.222,97.71000000000001,119,201811300CHO,2018-11-30 19:00:00,18-19
WAS,0.469,0.128,0.15,0.272,100.50711538461539,95,201903180WAS,2019-03-18 19:00:00,18-19
UTA,0.615,0.194,0.154,0.066,100.50711538461539,116,201903180WAS,2019-03-18 19:00:00,18-19
WAS,0.495,0.26,0.125,0.186,101.9350551724138,110,201904090WAS,2019-04-09 19:00:00,18-19
BOS,0.53,0.224,0.044,0.232,101.9350551724138,116,201904090WAS,2019-04-09 19:00:00,18-19
CHO,0.549,0.116,0.105,0.37,99.73826530612246,110,201811260CHO,2018-11-26 19:00:00,18-19
MIL,0.5,0.204,0.124,0.233,99.73826530612246,107,201811260CHO,2018-11-26 19:00:00,18-19
CHO,0.567,0.195,0.116,0.247,100.4180487804878,117,201811190CHO,2018-11-19 19:00:00,18-19
BOS,0.556,0.182,0.11,0.202,100.4180487804878,112,201811190CHO,2018-11-19 19:00:00,18-19
WAS,0.49,0.184,0.1,0.268,107.80481946624803,114,201904030WAS,2019-04-03 19:00:00,18-19
CHI,0.561,0.231,0.17,0.189,107.80481946624803,115,201904030WAS,2019-04-03 19:00:00,18-19
CHO,0.473,0.255,0.09,0.17,94.65429241261722,101,201901280CHO,2019-01-28 19:00:00,18-19
NYK,0.441,0.174,0.077,0.306,94.65429241261722,92,201901280CHO,2019-01-28 19:00:00,18-19
CHO,0.462,0.176,0.153,0.196,105.99745852187029,100,201812150CHO,2018-12-15 19:00:00,18-19
LAL,0.609,0.256,0.128,0.261,105.99745852187029,128,201812150CHO,2018-12-15 19:00:00,18-19
BRK,0.422,0.196,0.132,0.241,95.83924552429667,87,201812280CHO,2018-12-28 19:00:00,18-19
CHO,0.465,0.235,0.071,0.1,95.83924552429667,100,201812280CHO,2018-12-28 19:00:00,18-19
POR,0.505,0.295,0.094,0.24,99.2982837995338,118,201903030CHO,2019-03-03 13:00:00,18-19
CHO,0.53,0.103,0.114,0.277,99.2982837995338,108,201903030CHO,2019-03-03 13:00:00,18-19
DET,0.541,0.217,0.128,0.244,98.68333333333334,107,201812120CHO,2018-12-12 19:00:00,18-19
CHO,0.465,0.133,0.065,0.435,98.68333333333334,108,201812120CHO,2018-12-12 19:00:00,18-19
SAC,0.506,0.244,0.154,0.148,97.32537726098191,95,201901170CHO,2019-01-17 19:00:00,18-19
CHO,0.511,0.279,0.115,0.333,97.32537726098191,114,201901170CHO,2019-01-17 19:00:00,18-19
DAL,0.558,0.261,0.089,0.189,98.2495423340961,122,201901020CHO,2019-01-02 19:00:00,18-19
CHO,0.389,0.211,0.125,0.211,98.2495423340961,84,201901020CHO,2019-01-02 19:00:00,18-19
NYK,0.541,0.176,0.082,0.316,110.73260869565217,126,201812140CHO,2018-12-14 19:00:00,18-19
CHO,0.569,0.196,0.131,0.098,110.73260869565217,124,201812140CHO,2018-12-14 19:00:00,18-19
DEN,0.426,0.364,0.074,0.257,95.55870265151515,107,201812070CHO,2018-12-07 19:00:00,18-19
CHO,0.459,0.271,0.081,0.442,95.55870265151515,113,201812070CHO,2018-12-07 19:00:00,18-19
CHO,0.478,0.2,0.105,0.286,101.06002380952381,110,201902250CHO,2019-02-25 19:00:00,18-19
GSW,0.579,0.31,0.13,0.137,101.06002380952381,121,201902250CHO,2019-02-25 19:00:00,18-19
CHO,0.52,0.275,0.155,0.373,90.02529545454544,98,201812210CHO,2018-12-21 19:00:00,18-19
DET,0.439,0.273,0.132,0.268,90.02529545454544,86,201812210CHO,2018-12-21 19:00:00,18-19
CHO,0.521,0.162,0.123,0.384,88.40401948460088,100,201902010CHO,2019-02-01 19:00:00,18-19
MEM,0.494,0.209,0.112,0.213,88.40401948460088,92,201902010CHO,2019-02-01 19:00:00,18-19
CHO,0.542,0.211,0.159,0.325,102.33984882418812,113,201902270CHO,2019-02-27 19:00:00,18-19
HOU,0.533,0.149,0.09,0.264,102.33984882418812,118,201902270CHO,2019-02-27 19:00:00,18-19
WAS,0.485,0.208,0.11,0.186,104.54990127248793,110,201902220CHO,2019-02-22 19:00:00,18-19
CHO,0.547,0.256,0.11,0.229,104.54990127248793,123,201902220CHO,2019-02-22 19:00:00,18-19
CHO,0.636,0.424,0.138,0.307,98.0133860342556,135,201901190CHO,2019-01-19 17:00:00,18-19
PHO,0.511,0.152,0.065,0.379,98.0133860342556,115,201901190CHO,2019-01-19 17:00:00,18-19
BRK,0.557,0.268,0.109,0.299,95.9365711854793,117,201902230CHO,2019-02-23 19:00:00,18-19
CHO,0.523,0.279,0.108,0.349,95.9365711854793,115,201902230CHO,2019-02-23 19:00:00,18-19
CHO,0.559,0.146,0.074,0.388,97.94718821905201,125,201812310CHO,2018-12-31 18:00:00,18-19
ORL,0.467,0.245,0.099,0.207,97.94718821905201,100,201812310CHO,2018-12-31 18:00:00,18-19
CHO,0.565,0.295,0.111,0.098,92.84502705627705,110,201812190CHO,2018-12-19 19:00:00,18-19
CLE,0.541,0.095,0.072,0.141,92.84502705627705,99,201812190CHO,2018-12-19 19:00:00,18-19
CHO,0.61,0.225,0.06,0.354,90.83623214285714,125,201902020CHO,2019-02-02 19:00:00,18-19
CHI,0.574,0.229,0.098,0.309,90.83623214285714,118,201902020CHO,2019-02-02 19:00:00,18-19
SAC,0.612,0.233,0.111,0.327,112.86746713852375,146,201811010ATL,2018-11-01 19:30:00,18-19
ATL,0.529,0.217,0.177,0.391,112.86746713852375,115,201811010ATL,2018-11-01 19:30:00,18-19
BOS,0.575,0.152,0.091,0.161,101.00933229813666,117,201903230CHO,2019-03-23 18:00:00,18-19
CHO,0.537,0.286,0.093,0.295,101.00933229813666,124,201903230CHO,2019-03-23 18:00:00,18-19
DAL,0.484,0.17,0.142,0.286,108.13405660377359,104,201810240ATL,2018-10-24 19:00:00,18-19
ATL,0.489,0.189,0.125,0.341,108.13405660377359,111,201810240ATL,2018-10-24 19:00:00,18-19
CHO,0.451,0.227,0.177,0.183,93.31471953578337,84,201903060CHO,2019-03-06 19:00:00,18-19
MIA,0.472,0.362,0.16,0.122,93.31471953578337,91,201903060CHO,2019-03-06 19:00:00,18-19
MIN,0.5,0.184,0.114,0.33,102.96818181818182,106,201903210CHO,2019-03-21 19:00:00,18-19
CHO,0.475,0.273,0.083,0.24,102.96818181818182,113,201903210CHO,2019-03-21 19:00:00,18-19
NYK,0.513,0.268,0.141,0.61,101.53994606003752,112,201811070ATL,2018-11-07 19:30:00,18-19
ATL,0.462,0.288,0.14,0.315,101.53994606003752,107,201811070ATL,2018-11-07 19:30:00,18-19
CHO,0.488,0.208,0.081,0.53,98.37502976190476,114,201903190CHO,2019-03-19 19:00:00,18-19
PHI,0.564,0.143,0.066,0.326,98.37502976190476,118,201903190CHO,2019-03-19 19:00:00,18-19
MIA,0.576,0.31,0.15,0.306,100.52047619047619,118,201811030ATL,2018-11-03 19:30:00,18-19
ATL,0.597,0.222,0.14,0.261,100.52047619047619,123,201811030ATL,2018-11-03 19:30:00,18-19
WAS,0.517,0.277,0.126,0.302,95.81886107634543,111,201903080CHO,2019-03-08 19:00:00,18-19
CHO,0.49,0.353,0.103,0.208,95.81886107634543,112,201903080CHO,2019-03-08 19:00:00,18-19
ATL,0.511,0.178,0.139,0.337,110.55614184397163,117,201812050ATL,2018-12-05 19:30:00,18-19
WAS,0.547,0.255,0.121,0.337,110.55614184397163,131,201812050ATL,2018-12-05 19:30:00,18-19
BOS,0.533,0.167,0.138,0.231,106.62961382113821,114,201811230ATL,2018-11-23 19:30:00,18-19
ATL,0.469,0.122,0.176,0.358,106.62961382113821,96,201811230ATL,2018-11-23 19:30:00,18-19
ATL,0.617,0.22,0.132,0.117,101.6362543554007,124,201811250ATL,2018-11-25 18:00:00,18-19
CHO,0.543,0.238,0.087,0.304,101.6362543554007,123,201811250ATL,2018-11-25 18:00:00,18-19
DET,0.577,0.185,0.087,0.196,102.93222222222222,124,201811090ATL,2018-11-09 19:30:00,18-19
ATL,0.5,0.209,0.142,0.506,102.93222222222222,109,201811090ATL,2018-11-09 19:30:00,18-19
ATL,0.505,0.18,0.082,0.194,99.72254615384617,108,201811210ATL,2018-11-21 19:30:00,18-19
TOR,0.594,0.359,0.145,0.256,99.72254615384617,124,201811210ATL,2018-11-21 19:30:00,18-19
SAS,0.468,0.298,0.093,0.194,109.57869517543861,116,201903260CHO,2019-03-26 19:00:00,18-19
CHO,0.525,0.104,0.051,0.28,109.57869517543861,125,201903260CHO,2019-03-26 19:00:00,18-19
TOR,0.594,0.135,0.136,0.25,96.47282608695653,111,201904050CHO,2019-04-05 19:00:00,18-19
CHO,0.537,0.174,0.057,0.149,96.47282608695653,113,201904050CHO,2019-04-05 19:00:00,18-19
ATL,0.505,0.302,0.113,0.188,107.1489716981132,119,201811190ATL,2018-11-19 19:30:00,18-19
LAC,0.484,0.3,0.117,0.505,107.1489716981132,127,201811190ATL,2018-11-19 19:30:00,18-19
CHI,0.506,0.178,0.182,0.193,101.73077777777777,97,201810270ATL,2018-10-27 19:30:00,18-19
ATL,0.393,0.2,0.189,0.274,101.73077777777777,85,201810270ATL,2018-10-27 19:30:00,18-19
CHO,0.577,0.118,0.082,0.346,91.86577106518283,114,201904100CHO,2019-04-10 20:00:00,18-19
ORL,0.608,0.243,0.058,0.227,91.86577106518283,122,201904100CHO,2019-04-10 20:00:00,18-19
GSW,0.665,0.188,0.179,0.268,105.51580357142856,128,201812030ATL,2018-12-03 19:30:00,18-19
ATL,0.517,0.214,0.152,0.267,105.51580357142856,111,201812030ATL,2018-12-03 19:30:00,18-19
OKC,0.505,0.306,0.097,0.436,104.85030612244898,126,201901150ATL,2019-01-15 19:30:00,18-19
ATL,0.722,0.286,0.156,0.178,104.85030612244898,142,201901150ATL,2019-01-15 19:30:00,18-19
ATL,0.602,0.227,0.157,0.216,102.850749516441,122,201902220ATL,2019-02-22 19:30:00,18-19
DET,0.563,0.213,0.069,0.295,102.850749516441,125,201902220ATL,2019-02-22 19:30:00,18-19
MIA,0.385,0.211,0.116,0.31,97.33170134638922,82,201901060ATL,2019-01-06 18:00:00,18-19
ATL,0.527,0.326,0.149,0.143,97.33170134638922,106,201901060ATL,2019-01-06 18:00:00,18-19
DEN,0.418,0.208,0.124,0.216,106.5789807219032,98,201812080ATL,2018-12-08 19:30:00,18-19
ATL,0.511,0.196,0.152,0.172,106.5789807219032,106,201812080ATL,2018-12-08 19:30:00,18-19
ATL,0.418,0.196,0.108,0.209,96.97021008403361,91,201902140ATL,2019-02-14 19:30:00,18-19
NYK,0.524,0.262,0.128,0.31,96.97021008403361,106,201902140ATL,2019-02-14 19:30:00,18-19
WAS,0.512,0.2,0.132,0.434,102.84636585365854,110,201812180ATL,2018-12-18 19:30:00,18-19
ATL,0.544,0.317,0.193,0.494,102.84636585365854,118,201812180ATL,2018-12-18 19:30:00,18-19
MIL,0.592,0.182,0.116,0.359,110.21502782931356,133,201901130ATL,2019-01-13 15:30:00,18-19
ATL,0.469,0.367,0.18,0.313,110.21502782931356,114,201901130ATL,2019-01-13 15:30:00,18-19
CHO,0.653,0.278,0.119,0.205,98.17177177177177,129,201902090ATL,2019-02-09 19:30:00,18-19
ATL,0.616,0.27,0.16,0.221,98.17177177177177,120,201902090ATL,2019-02-09 19:30:00,18-19
ATL,0.544,0.116,0.108,0.313,95.68192307692308,108,201902100ATL,2019-02-10 19:30:00,18-19
ORL,0.544,0.282,0.072,0.308,95.68192307692308,124,201902100ATL,2019-02-10 19:30:00,18-19
PHO,0.511,0.136,0.105,0.215,105.43019342359767,112,201902230ATL,2019-02-23 19:00:00,18-19
ATL,0.478,0.255,0.107,0.413,105.43019342359767,120,201902230ATL,2019-02-23 19:00:00,18-19
CHI,0.559,0.18,0.102,0.403,142.54654918032787,168,201903010ATL,2019-03-01 19:30:00,18-19
ATL,0.585,0.15,0.13,0.203,142.54654918032787,161,201903010ATL,2019-03-01 19:30:00,18-19
BOS,0.511,0.234,0.132,0.284,101.12768557919622,113,201901190ATL,2019-01-19 19:30:00,18-19
ATL,0.5,0.289,0.169,0.152,101.12768557919622,105,201901190ATL,2019-01-19 19:30:00,18-19
ATL,0.41,0.316,0.077,0.305,105.67308479532164,112,201903090ATL,2019-03-09 19:00:00,18-19
BRK,0.471,0.278,0.113,0.628,105.67308479532164,114,201903090ATL,2019-03-09 19:00:00,18-19
ATL,0.462,0.204,0.12,0.261,104.35775132275131,104,201903060ATL,2019-03-06 19:30:00,18-19
SAS,0.551,0.143,0.142,0.202,104.35775132275131,111,201903060ATL,2019-03-06 19:30:00,18-19
ATL,0.55,0.174,0.157,0.313,96.94652173913045,101,201902070ATL,2019-02-07 19:30:00,18-19
TOR,0.534,0.261,0.073,0.379,96.94652173913045,119,201902070ATL,2019-02-07 19:30:00,18-19
CLE,0.5,0.217,0.109,0.341,99.75797101449274,108,201812290ATL,2018-12-29 19:30:00,18-19
ATL,0.49,0.333,0.107,0.255,99.75797101449274,111,201812290ATL,2018-12-29 19:30:00,18-19
ATL,0.601,0.275,0.164,0.202,102.27775,121,201812260ATL,2018-12-26 19:30:00,18-19
IND,0.633,0.25,0.141,0.398,102.27775,129,201812260ATL,2018-12-26 19:30:00,18-19
ATL,0.506,0.2,0.119,0.267,99.34656818181818,103,201901210ATL,2019-01-21 15:00:00,18-19
ORL,0.566,0.205,0.099,0.231,99.34656818181818,122,201901210ATL,2019-01-21 15:00:00,18-19
LAL,0.505,0.196,0.124,0.263,111.36229411764705,113,201902120ATL,2019-02-12 19:30:00,18-19
ATL,0.522,0.15,0.162,0.283,111.36229411764705,117,201902120ATL,2019-02-12 19:30:00,18-19
ATL,0.481,0.321,0.089,0.296,111.35125,131,201902270ATL,2019-02-27 19:30:00,18-19
MIN,0.49,0.161,0.049,0.324,111.35125,123,201902270ATL,2019-02-27 19:30:00,18-19
LAL,0.579,0.26,0.112,0.243,114.43516734693878,142,201810220LAL,2018-10-22 22:30:00,18-19
SAS,0.593,0.204,0.073,0.392,114.43516734693878,143,201810220LAL,2018-10-22 22:30:00,18-19
POR,0.516,0.233,0.078,0.229,100.83238701184729,118,201903290ATL,2019-03-29 19:30:00,18-19
ATL,0.452,0.151,0.091,0.149,100.83238701184729,98,201903290ATL,2019-03-29 19:30:00,18-19
LAL,0.5,0.333,0.177,0.261,103.9019918699187,107,201811110LAL,2018-11-11 21:30:00,18-19
ATL,0.5,0.244,0.144,0.137,103.9019918699187,106,201811110LAL,2018-11-11 21:30:00,18-19
LAL,0.571,0.211,0.175,0.286,104.8711296534018,114,201810310LAL,2018-10-31 22:30:00,18-19
DAL,0.576,0.244,0.196,0.221,104.8711296534018,113,201810310LAL,2018-10-31 22:30:00,18-19
PHI,0.51,0.441,0.102,0.388,101.53933817594836,122,201904030ATL,2019-04-03 19:30:00,18-19
ATL,0.587,0.262,0.095,0.304,101.53933817594836,130,201904030ATL,2019-04-03 19:30:00,18-19
ATL,0.58,0.205,0.141,0.264,102.80801136363635,117,201903210ATL,2019-03-21 19:30:00,18-19
UTA,0.511,0.292,0.125,0.277,102.80801136363635,114,201903210ATL,2019-03-21 19:30:00,18-19
MEM,0.506,0.2,0.122,0.292,101.06068292682926,111,201903130ATL,2019-03-13 19:30:00,18-19
ATL,0.587,0.366,0.092,0.136,101.06068292682926,132,201903130ATL,2019-03-13 19:30:00,18-19
IND,0.43,0.204,0.148,0.314,101.84985941043084,96,201811290LAL,2018-11-29 22:30:00,18-19
LAL,0.529,0.244,0.158,0.267,101.84985941043084,104,201811290LAL,2018-11-29 22:30:00,18-19
LAL,0.532,0.122,0.163,0.392,102.42138653234358,104,201811250LAL,2018-11-25 15:30:00,18-19
ORL,0.511,0.196,0.116,0.151,102.42138653234358,108,201811250LAL,2018-11-25 15:30:00,18-19
LAL,0.52,0.18,0.085,0.18,108.05781666666667,115,201810200LAL,2018-10-20 22:30:00,18-19
HOU,0.542,0.271,0.128,0.313,108.05781666666667,124,201810200LAL,2018-10-20 22:30:00,18-19
HOU,0.635,0.14,0.133,0.385,98.72479427549194,121,201903190ATL,2019-03-19 19:30:00,18-19
ATL,0.554,0.205,0.173,0.179,98.72479427549194,105,201903190ATL,2019-03-19 19:30:00,18-19
MIL,0.487,0.338,0.113,0.198,116.91098798076922,135,201903310ATL,2019-03-31 12:30:00,18-19
ATL,0.534,0.234,0.067,0.144,116.91098798076922,136,201903310ATL,2019-03-31 12:30:00,18-19
UTA,0.412,0.143,0.17,0.2,103.07635531135531,83,201811230LAL,2018-11-23 22:30:00,18-19
LAL,0.5,0.128,0.209,0.228,103.07635531135531,90,201811230LAL,2018-11-23 22:30:00,18-19
PHI,0.516,0.292,0.107,0.429,106.72329795597484,127,201903230ATL,2019-03-23 19:30:00,18-19
ATL,0.533,0.283,0.094,0.198,106.72329795597484,129,201903230ATL,2019-03-23 19:30:00,18-19
NOP,0.535,0.098,0.071,0.079,104.5712557363371,116,201903100ATL,2019-03-10 18:00:00,18-19
ATL,0.577,0.213,0.078,0.184,104.5712557363371,128,201903100ATL,2019-03-10 18:00:00,18-19
LAL,0.494,0.143,0.141,0.341,103.01106349206349,107,201811040LAL,2018-11-04 21:30:00,18-19
TOR,0.551,0.289,0.103,0.143,103.01106349206349,121,201811040LAL,2018-11-04 21:30:00,18-19
LAL,0.554,0.234,0.111,0.28,103.78915780141844,126,201811140LAL,2018-11-14 22:30:00,18-19
POR,0.516,0.229,0.12,0.247,103.78915780141844,117,201811140LAL,2018-11-14 22:30:00,18-19
LAL,0.566,0.293,0.141,0.154,97.34374867444326,114,201811070LAL,2018-11-07 22:30:00,18-19
MIN,0.56,0.239,0.136,0.099,97.34374867444326,110,201811070LAL,2018-11-07 22:30:00,18-19
LAL,0.554,0.209,0.113,0.25,105.72581395348837,121,201810250LAL,2018-10-25 22:30:00,18-19
DEN,0.533,0.233,0.159,0.217,105.72581395348837,114,201810250LAL,2018-10-25 22:30:00,18-19
ATL,0.5,0.423,0.124,0.369,107.73048076923078,134,201904100ATL,2019-04-10 20:00:00,18-19
IND,0.52,0.25,0.065,0.398,107.73048076923078,135,201904100ATL,2019-04-10 20:00:00,18-19
DAL,0.453,0.191,0.137,0.395,105.76711378353376,103,201811300LAL,2018-11-30 22:30:00,18-19
LAL,0.541,0.196,0.145,0.372,105.76711378353376,114,201811300LAL,2018-11-30 22:30:00,18-19
LAL,0.477,0.148,0.142,0.402,109.35992063492063,107,201812280LAL,2018-12-28 22:30:00,18-19
LAC,0.473,0.143,0.102,0.374,109.35992063492063,118,201812280LAL,2018-12-28 22:30:00,18-19
PHO,0.468,0.135,0.133,0.118,106.11442307692309,96,201812020LAL,2018-12-02 15:30:00,18-19
LAL,0.56,0.25,0.157,0.25,106.11442307692309,120,201812020LAL,2018-12-02 15:30:00,18-19
LAL,0.557,0.136,0.105,0.375,103.60781431334622,121,201812050LAL,2018-12-05 22:30:00,18-19
SAS,0.484,0.234,0.087,0.208,103.60781431334622,113,201812050LAL,2018-12-05 22:30:00,18-19
LAL,0.505,0.304,0.175,0.174,102.85513876040704,105,201901290LAL,2019-01-29 22:30:00,18-19
PHI,0.532,0.255,0.102,0.301,102.85513876040704,121,201901290LAL,2019-01-29 22:30:00,18-19
LAL,0.564,0.136,0.069,0.33,107.89279013539652,125,201902270LAL,2019-02-27 22:30:00,18-19
NOP,0.485,0.298,0.102,0.265,107.89279013539652,119,201902270LAL,2019-02-27 22:30:00,18-19
MIA,0.505,0.292,0.146,0.138,98.43208333333334,105,201812100LAL,2018-12-10 22:30:00,18-19
LAL,0.533,0.25,0.108,0.222,98.43208333333334,108,201812100LAL,2018-12-10 22:30:00,18-19
LAL,0.488,0.255,0.145,0.384,103.03803840166061,111,201902210LAL,2019-02-21 22:30:00,18-19
HOU,0.523,0.098,0.129,0.17,103.03803840166061,106,201902210LAL,2019-02-21 22:30:00,18-19
PHO,0.441,0.357,0.139,0.376,95.1892032967033,102,201901270LAL,2019-01-27 21:30:00,18-19
LAL,0.584,0.359,0.142,0.202,95.1892032967033,116,201901270LAL,2019-01-27 21:30:00,18-19
NOP,0.471,0.259,0.099,0.157,104.69305752561073,104,201812210LAL,2018-12-21 22:30:00,18-19
LAL,0.511,0.17,0.104,0.272,104.69305752561073,112,201812210LAL,2018-12-21 22:30:00,18-19
OKC,0.414,0.27,0.085,0.295,110.1697243867244,107,201901020LAL,2019-01-02 22:30:00,18-19
LAL,0.455,0.145,0.142,0.36,110.1697243867244,100,201901020LAL,2019-01-02 22:30:00,18-19
MIL,0.591,0.256,0.096,0.258,102.2829457364341,131,201903010LAL,2019-03-01 22:30:00,18-19
LAL,0.547,0.167,0.08,0.188,102.2829457364341,120,201903010LAL,2019-03-01 22:30:00,18-19
NYK,0.429,0.232,0.049,0.414,107.57982142857142,119,201901040LAL,2019-01-04 22:30:00,18-19
LAL,0.495,0.218,0.13,0.204,107.57982142857142,112,201901040LAL,2019-01-04 22:30:00,18-19
LAL,0.552,0.214,0.169,0.161,99.74228021978021,105,201901240LAL,2019-01-24 22:30:00,18-19
MIN,0.48,0.423,0.096,0.245,99.74228021978021,120,201901240LAL,2019-01-24 22:30:00,18-19
LAL,0.512,0.283,0.149,0.415,99.44690110826939,107,201901150LAL,2019-01-15 22:30:00,18-19
CHI,0.451,0.255,0.112,0.261,99.44690110826939,100,201901150LAL,2019-01-15 22:30:00,18-19
MEM,0.544,0.205,0.086,0.156,93.89777272727272,107,201812230LAL,2018-12-23 21:30:00,18-19
LAL,0.56,0.15,0.159,0.293,93.89777272727272,99,201812230LAL,2018-12-23 21:30:00,18-19
DET,0.535,0.156,0.089,0.163,93.03598412698413,100,201901090LAL,2019-01-09 22:30:00,18-19
LAL,0.61,0.257,0.135,0.22,93.03598412698413,113,201901090LAL,2019-01-09 22:30:00,18-19
LAL,0.53,0.159,0.122,0.452,103.87022727272728,111,201901210LAL,2019-01-21 22:30:00,18-19
GSW,0.592,0.271,0.086,0.194,103.87022727272728,130,201901210LAL,2019-01-21 22:30:00,18-19
LAL,0.434,0.236,0.097,0.297,97.860625,95,201901130LAL,2019-01-13 21:30:00,18-19
CLE,0.472,0.208,0.092,0.258,97.860625,101,201901130LAL,2019-01-13 21:30:00,18-19
LAL,0.556,0.25,0.116,0.204,104.55885638297872,121,201812300LAL,2018-12-30 21:30:00,18-19
SAC,0.553,0.191,0.115,0.126,104.55885638297872,114,201812300LAL,2018-12-30 21:30:00,18-19
LAC,0.621,0.311,0.114,0.126,106.62430409356725,136,201810280LAC,2018-10-28 21:30:00,18-19
WAS,0.418,0.246,0.114,0.289,106.62430409356725,104,201810280LAC,2018-10-28 21:30:00,18-19
LAL,0.518,0.119,0.113,0.274,96.74595238095239,99,201903060LAL,2019-03-06 22:30:00,18-19
DEN,0.526,0.333,0.07,0.173,96.74595238095239,115,201903060LAL,2019-03-06 22:30:00,18-19
LAC,0.5,0.293,0.115,0.292,98.90653431650597,115,201810210LAC,2018-10-21 21:00:00,18-19
HOU,0.567,0.14,0.112,0.169,98.90653431650597,112,201810210LAC,2018-10-21 21:00:00,18-19
SAC,0.442,0.254,0.058,0.221,103.41732373569583,106,201903240LAL,2019-03-24 21:30:00,18-19
LAL,0.535,0.209,0.173,0.282,103.41732373569583,111,201903240LAL,2019-03-24 21:30:00,18-19
LAL,0.432,0.345,0.127,0.333,103.2491586452763,106,201903220LAL,2019-03-22 22:30:00,18-19
BRK,0.489,0.216,0.111,0.304,103.2491586452763,111,201903220LAL,2019-03-22 22:30:00,18-19
LAL,0.511,0.178,0.108,0.198,102.90660704607046,107,201903090LAL,2019-03-09 20:30:00,18-19
BOS,0.591,0.146,0.116,0.151,102.90660704607046,120,201903090LAL,2019-03-09 20:30:00,18-19
PHO,0.483,0.156,0.142,0.202,101.99488888888888,99,201811280LAC,2018-11-28 22:30:00,18-19
LAC,0.529,0.4,0.173,0.372,101.99488888888888,115,201811280LAC,2018-11-28 22:30:00,18-19
SAS,0.446,0.268,0.042,0.245,99.70271291208792,111,201811150LAC,2018-11-15 22:30:00,18-19
LAC,0.518,0.231,0.107,0.412,99.70271291208792,116,201811150LAC,2018-11-15 22:30:00,18-19
POR,0.472,0.244,0.107,0.244,97.73877777777777,104,201904090LAL,2019-04-09 22:30:00,18-19
LAL,0.479,0.333,0.143,0.181,97.73877777777777,101,201904090LAL,2019-04-09 22:30:00,18-19
LAC,0.5,0.146,0.124,0.374,110.69287714543812,121,201811120LAC,2018-11-12 22:30:00,18-19
GSW,0.532,0.204,0.14,0.245,110.69287714543812,116,201811120LAC,2018-11-12 22:30:00,18-19
LAC,0.56,0.195,0.114,0.289,100.16489547038327,113,201903040LAL,2019-03-04 22:30:00,18-19
LAL,0.473,0.143,0.106,0.264,100.16489547038327,105,201903040LAL,2019-03-04 22:30:00,18-19
GSW,0.531,0.17,0.123,0.051,105.04980188679245,108,201904040LAL,2019-04-04 22:30:00,18-19
LAL,0.394,0.3,0.14,0.135,105.04980188679245,90,201904040LAL,2019-04-04 22:30:00,18-19
WAS,0.467,0.22,0.143,0.3,104.04230000000001,106,201903260LAL,2019-03-26 22:30:00,18-19
LAL,0.601,0.317,0.154,0.258,104.04230000000001,124,201903260LAL,2019-03-26 22:30:00,18-19
UTA,0.53,0.233,0.102,0.333,95.09918321043676,109,201904070LAL,2019-04-07 21:30:00,18-19
LAL,0.556,0.39,0.14,0.236,95.09918321043676,113,201904070LAL,2019-04-07 21:30:00,18-19
LAC,0.5,0.213,0.126,0.444,98.32750903251707,108,201810190LAC,2018-10-19 22:30:00,18-19
OKC,0.395,0.283,0.102,0.242,98.32750903251707,92,201810190LAC,2018-10-19 22:30:00,18-19
LAC,0.468,0.163,0.094,0.287,107.29413487133985,112,201811230LAC,2018-11-23 15:30:00,18-19
MEM,0.505,0.13,0.138,0.196,107.29413487133985,107,201811230LAC,2018-11-23 15:30:00,18-19
LAC,0.568,0.302,0.109,0.25,96.0530905752754,120,201811050LAC,2018-11-05 22:30:00,18-19
MIN,0.5,0.211,0.101,0.353,96.0530905752754,109,201811050LAC,2018-11-05 22:30:00,18-19
CHO,0.563,0.195,0.12,0.193,98.1130487804878,115,201903290LAL,2019-03-29 22:30:00,18-19
LAL,0.659,0.275,0.127,0.132,98.1130487804878,129,201903290LAL,2019-03-29 22:30:00,18-19
LAC,0.51,0.216,0.103,0.143,103.85368937048503,109,201901160LAC,2019-01-16 22:30:00,18-19
UTA,0.576,0.211,0.113,0.43,103.85368937048503,129,201901160LAC,2019-01-16 22:30:00,18-19
LAC,0.494,0.146,0.147,0.463,106.2222611788618,111,201812290LAC,2018-12-29 22:30:00,18-19
SAS,0.54,0.195,0.13,0.356,106.2222611788618,122,201812290LAC,2018-12-29 22:30:00,18-19
LAC,0.547,0.15,0.164,0.392,95.33484782608696,104,201901120LAC,2019-01-12 15:30:00,18-19
DET,0.529,0.304,0.145,0.259,95.33484782608696,109,201901120LAC,2019-01-12 15:30:00,18-19
DAL,0.522,0.356,0.094,0.359,97.18261111111111,121,201812200LAC,2018-12-20 22:30:00,18-19
LAC,0.602,0.275,0.11,0.373,97.18261111111111,125,201812200LAC,2018-12-20 22:30:00,18-19
LAC,0.41,0.232,0.135,0.348,103.25540000000001,98,201812080LAC,2018-12-08 22:30:00,18-19
MIA,0.505,0.28,0.092,0.424,103.25540000000001,121,201812080LAC,2018-12-08 22:30:00,18-19
LAC,0.581,0.19,0.142,0.279,104.0077067669173,117,201901140LAC,2019-01-14 22:30:00,18-19
