team,pts,game_possessions,game_code,home_team_bin,efg_pct,tov_pct,orb_pct,fta_per_fga_pct,Model_Prediction,Best_Spread,Best_Moneyline,Best_Total,Spread_Grade,Total_Grade,Moneyline_Grade,Best_Book,date
BOS,86,94.87731707,201811170BOS,1,0.412,0.123,0.304,0.22,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/17/2018
PHI,90,87.64154858,201905120TOR,0,0.5,0.161,0.132,0.462,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/12/2019
TOR,92,87.64154858,201905120TOR,1,0.421,0.093,0.308,0.213,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/12/2019
GSW,106,94.34746212,201906100TOR,0,0.585,0.145,0.167,0.171,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,6/10/2019
TOR,105,94.34746212,201906100TOR,1,0.494,0.118,0.295,0.318,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,6/10/2019
MEM,116,99.9675,201901180BOS,0,0.533,0.082,0.176,0.217,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/18/2019
BOS,122,99.9675,201901180BOS,1,0.61,0.151,0.25,0.256,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/18/2019
CLE,103,98.87986842,201901230BOS,0,0.511,0.173,0.306,0.23,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/23/2019
BOS,123,98.87986842,201901230BOS,1,0.593,0.127,0.237,0.267,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/23/2019
MIA,99,98.8294152,201901210BOS,0,0.483,0.168,0.263,0.209,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/21/2019
BOS,107,98.8294152,201901210BOS,1,0.563,0.172,0.222,0.115,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/21/2019
NOP,120,107.538,201811210PHI,0,0.485,0.118,0.357,0.337,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/21/2018
PHI,121,107.538,201811210PHI,1,0.5,0.128,0.244,0.265,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/21/2018
LAC,113,106.7313137,201811010PHI,0,0.494,0.152,0.195,0.384,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/1/2018
PHI,122,106.7313137,201811010PHI,1,0.543,0.117,0.227,0.301,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/1/2018
LAL,129,99.33,201902070BOS,0,0.629,0.071,0.213,0.186,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/7/2019
BOS,128,99.33,201902070BOS,1,0.574,0.072,0.25,0.213,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/7/2019
GSW,115,100.6184327,201901260BOS,0,0.518,0.125,0.244,0.41,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/26/2019
BOS,111,100.6184327,201901260BOS,1,0.49,0.117,0.263,0.152,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/26/2019
CLE,121,91.02132622,201811230PHI,0,0.586,0.074,0.341,0.172,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/23/2018
PHI,112,91.02132622,201811230PHI,1,0.613,0.104,0.125,0.347,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/23/2018
SAC,120,108.0359837,201903140BOS,0,0.563,0.087,0.16,0.242,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/14/2019
